;marca;preco
196;Cadeira Gamer Flexinter Raven X-30, Até 200Kg, com Almofadas, Descanso de Braço 4D, Encosto Reclinável, Trava de Inclinação, Branco - CDRVX30BR;R$ 1.579,99
197;Cadeira Gamer Asus ROG Chariot, Aura RGB, Braço 4D, Preto - SL300C;R$ 5.899,99
198;Cadeira Gamer Flexinter Raven X-10, Até 150kg, com Almofadas, Descanso  de Braço 2D, Preto - CDRVX10TP;R$ 899,99
199;Cadeira Gamer Noblechairs Epic Compact, Até 120Kg, com Almofadas, Braços 3D, Ajuste de Profundidade, Preto - NBL-ECC-PU-BLA;R$ 1.879,99
200;Cadeira Gamer Husky Gaming Blizzard 970,  com Almofadas, Acabamento Alcantara, Reclinável com Sistema Frog, Caramelo - HGMA133;R$ 2.099,99
201;Cadeira Gamer Husky Gaming Storm, Branco e Rosa, Com Almofadas, Reclinável, Descanso de Braço 4D - HST-PW;R$ 929,99
202;Cadeira Gamer Asus Rog Chariot Core SL300, Preto, Almofada Lombar, Braços 4D, Cilindro de Gás - 90GC00D0-MSG010;R$ 3.999,99
203;Cadeira Gamer Alpha Gamer Zeta Black Blue - AGZETA-BK-BL;R$ 999,99
204;Cadeira Gamer Fortrek Cruiser Black - 70514;R$ 1.199,99
205;Cadeira Gamer Fortrek Black Hawk Black/Green - 70511;R$ 889,99
206;Cadeira Gamer Husky Gaming Avalanche, Rosa e Branco, Com Almofadas, Reclinável, Descanso de Braço 3D - HAV-PW;R$ 999,99
